URL	Unicode	JIS水準	漢検級	学年	部首	画数	種別	音読み	訓読み	意味	明朝体	教科書体	教科書体（筆順）
https://kanji.jitenon.jp/kanji/001.html	4E00	JIS第１水準	１０級	小学校１年生	一 （いち）	１画	教育漢字|常用漢字|名前に使える漢字	イチ|イツ	ひと|ひと（つ）|はじ（め）	ひとつ。|ひとたび。いちど。|はじめ。最初。物事のいち番目。|同じ。等しい。|ひとつにする。同じにする。|すべて。全部。|もっぱら。ひたすら。|すこし。わずか。ちょっと。|あるひとつの。|あるとき。ある時間。|あるいは。または。|なんと。まったく。	https://kanji.jitenon.jp/shotai3/001.gif	https://kanji.jitenon.jp/shotai2/001.gif	https://kanji.jitenon.jp/shotai1/001.gif
https://kanji.jitenon.jp/kanjic/1329.html	4E59	JIS第１水準	３級		乙 乚 （おつ・おつにょう・つりばり）	１画	常用漢字|名前に使える漢字	オツ|イツ	おと|きのと	十干（じっかん）の二番目。きのと。五行では木。方位では東。|順位の二番目。第二位。|つばめ。例：乙鳥（いつちょう）|日本邦楽で、甲よりも一段低い音。|日本幼い。若い。|日本しゃれているさま。気がきいているさま。	https://kanji.jitenon.jp/shotai3/1329.gif	https://kanji.jitenon.jp/shotai2/1329.gif	https://kanji.jitenon.jp/shotai1/1329.gif
